 ;4;6;Sainte Marie;Sainte Marie;Ambodifotatra, carrefour vers Masikandrongo;;;4*3;6;5;5;81;54;TELMA;;1
 ;4;6;Sainte Marie;Sainte Marie;Devant Eden B;;;4*3;6;5;5;374;54;TELMA;;1
 ;4;6;Sainte Marie;Sainte Marie;Sortie ilot Madame, vers aéroport;;;4*3;6;5;5;351;4;TELMA;;1
 ;7;7;Sakaraha;Sakaraha;En face poste de police;23.205048;43.401645;6*3;6;5;9;TELMA 034;5;TELMA;;1
 ;19;3;Sambava;Sambava;Ambariamihambana, croisement Sambava;14.155467;50.52264;8*3;6;5;3;3B8SBV;4;TELMA;;1
 ;19;3;Sambava;Sambava;Enceinte Aéroport;14.164158;50.10371;12*3;6;5;8;RNA 015;24;TELMA;;1
 ;19;3;Sambava;Sambava;Ambodisatrana, croisement vers voirie vue vers aéroport;14.155292;50.95434;8*3;6;5;3;1B8SBV;25;TELMA;;1
 ;19;3;Sambava;Sambava;Ancienne gare routière Antanifotsy;14.154516;50.82212;8*3;6;5;8;RNA 016;54;TELMA;;1
 ;3;1;Antananarivo;Ampasapito;Devant talus IST vue vers  Avaradoha ;47.54662;-18.8955;4*3;6;5;3;P6;54;TELMA;;1
 ;3;1;Antananarivo;Ankatso;En face terminus 119;47.549385;-18.915287;4*3;6;5;5;191;54;TELMA;;1
 ;3;1;Antananarivo;Alasora;Après pont Mandroseza à gauche - vers Ankadindratombo;47.554124;-18.937458;4*3;6;5;5;209;54;TELMA;;1
 ;3;1;Antananarivo;Manjakaray;Manjakaray, près tranon-jiro JIRAMA;47.53685;-18.89236;12*3;6;5;3;BT 12-32;5;TELMA;;1
 ;3;1;Antananarivo;Alarobia;Terminus Bus ligne 180;47.519328;-18.873943;3*6;5;5;6;MUR 003;54;TELMA;;1
 ;3;1;Antananarivo;Analakely;Après 1er Arrondissement vers Behoririka;47.52314;-18.90379;4*3;6;5;3;G9;54;TELMA;;1
 ;3;1;Antananarivo;Behoririka;En face station Shell;47.52486;-18.90173;3*6;5;5;4;MDTA024;54;TELMA;;1
 ;3;1;Antananarivo;Ambohijatovo;Après tunnel descente vers Analakely ;47.52955;-18.91217;4*3;6;5;3;7;4;TELMA;;1
 ;3;1;Antananarivo;Mahamasina;Devant court de tennis ;47.52346;-18.91787;4*3;6;5;3;S16;54;TELMA;;1
 ;3;1;Antananarivo;Digue;Sortie Akoor' vue vers IVATO, en face Silo;47.491796;-18.892421;4*3;6;5;5;336;54;TELMA;;1
